"objectid","parking_space_id","post_id","ms_pay_station_id","ms_space_num","sensor_flag","on_offstreet_type","osp_id","jurisdiction","pm_district_id","blockface_id","active_meter_flag","reason_code","smart_meter_flag","meter_type","meter_vendor","meter_model","cap_color","pco_beat","old_rate_area","street_id","street_name","street_num","parity_digit_position","street_seg_ctrln_id","orientation","longitude","latitude","legislation_ref","legislation_dt","work_order","comments","collection_route","collection_subroute","pmr_route","nfc_key","spt_code","collection_route_desc","collection_subroute_desc","shape","data_as_of","data_loaded_at","analysis_neighborhood","supervisor_district",":@computed_region_ajp5_b2md",":@computed_region_jwn9_ihcz",":@computed_region_6qbp_sg9q",":@computed_region_qgnn_b9vv",":@computed_region_26cr_cadq"
"160010",,"440-35250","-","0",,"ON",,"SFMTA","20","440351","M","UY",,"SS","IPS","M5","Grey",,,"440","GEARY BLVD","3525",,"6055101",,"-122.4571883974","37.7812041015",,,,,"126","126-3","B-1",,,"Geary St: 2400 - 4800","Geary2600-3100","POINT (-122.457188397 37.781204101)","2024-04-29T17:01:40.000","2024-12-03T14:47:03.000","Lone Mountain/USF","2","18","12","12","8","4"
"161947",,"725-03570","-","0",,"ON",,"SFMTA","10","725031","M","-",,"SS","IPS","M5","Yellow",,,"725","WEST PORTAL AVE","357",,"13579101",,"-122.46994359770001","37.737079600700007",,,,,"320","320-2","A-1",,,"West Portal Ave: Unit - 300","West Portal","POINT (-122.469943598 37.737079601)","2024-04-29T17:01:40.000","2024-12-03T14:47:03.000","West of Twin Peaks","7","41","46","46","10","8"
"152280",,"114-04030","-","0",,"ON",,"SFMTA","21","114041","M","-",,"SS","IPS","M5","Grey",,,"114","14TH AVE","403",,"556000",,"-122.4729042447","37.7804219511",,,,,"118","118-1","B-3",,,"Geary St: 5000 - 5200","Geary","POINT (-122.472904245 37.780421951)","2024-04-29T17:01:40.000","2024-12-03T14:47:03.000","Outer Richmond","1","29","5","5","8","4"
"158143",,"701-10010","-","0",,"ON",,"SFMTA","15","701101","U","U8",,"-","-","-","-",,,"701","VAN NESS AVE","1001",,"13152101",,"-122.421378398","37.7848593992",,,,,,,"E-3",,,,,"POINT (-122.421378398 37.784859399)","2024-04-29T17:01:40.000","2024-12-03T14:47:03.000","Western Addition","2","39","100","100","4","11"
"153102",,"445-00690","-","0",,"ON",,"SFMTA","12","445001","M","-",,"SS","IPS","M5","Grey",,,"445","GREEN ST","69",,"6439000",,"-122.40037639970001","37.800531898500005",,,,,"203","203-4","G-1",,,"Broadway St: Unit - 800","Battery: 800 - 1200","POINT (-122.4003764 37.800531899)","2024-04-29T17:01:40.000","2024-12-03T14:47:03.000","Financial District/South Beach","3","8","77","77","6","3"
"158617",,"359-08010","-","0",,"ON",,"SFMTA","12","359081","M","-",,"SS","IPS","M5","Grey",,,"359","CLAY ST","801",,"4089000",,"-122.40639239890001","37.7942113009",,,,,"213","213-1","I-4",,,"Clay St: 100 - 900","Clay: 100 - 900","POINT (-122.406392399 37.794211301)","2024-04-29T17:01:40.000","2024-12-03T14:47:03.000","Chinatown","3","6","104","104","6","3"
"155518",,"363-12200","-","0",,"ON",,"SFMTA","6","363122","M","-",,"SS","MacKay","mkBeacon","Green",,,"363","COLUMBUS AVE","1220",,"4306000",,"-122.41787729939999","37.8057365016",,,,,"201","201-53","F-1",,,"Fishermans Wharf","Fishermans Wharf","POINT (-122.417877299 37.805736502)","2024-04-29T17:01:40.000","2024-12-03T14:47:03.000","North Beach","3","23","99","99","6","3"
"151403",,"224-33450","-","0",,"ON",,"SFMTA","4","224331","T","UD",,"SS","IPS","M5","Grey",,,"224","24TH ST","3345",,"1349000",,"-122.4201276002","37.7520712995",,,,,"303","303-1","R-4",,,"24 St (Lower): 2700 - 3300","24th St Lower","POINT (-122.4201276 37.752071299)","2024-04-29T17:01:40.000","2024-12-03T14:47:03.000","Mission","9","20","53","53","3","2"
"151746",,"546-27220","-","0",,"ON",,"SFMTA","6","546272","M","-",,"SS","IPS","M5","Grey",,,"546","LEAVENWORTH ST","2722",,"8274000",,"-122.4187912007","37.8066126005",,,,,"201","201-51","F-1",,,"Fishermans Wharf","Fishermans Wharf","POINT (-122.418791201 37.8066126)","2024-04-29T17:01:40.000","2024-12-03T14:47:03.000","North Beach","3","23","99","99","6","3"
"155590",,"571-09060","-","0",,"ON",,"SFMTA","12","571092","M","-",,"SS","IPS","M5","Yellow",,,"571","MONTGOMERY ST","906",,"9309000",,"-122.40367400250001","37.7975668003",,,,,"DPT MOS","DPT MOS","G-2",,,,,"POINT (-122.403674002 37.7975668)","2024-04-29T17:01:40.000","2024-12-03T14:47:03.000","North Beach","3","23","106","106","6","3"
"155767",,"490-23370","-","0",,"ON",,"SFMTA","24","490231","M","-",,"SS","MacKay","mkBeacon","Grey",,,"490","IRVING ST","2337",,"7301000",,"-122.48333069840001","37.763219700099995",,,,,"120","120-1","A-5",,,"Inner Irving St: 1800 - 2500","Outer Irving","POINT (-122.483330698 37.7632197)","2024-04-29T17:01:40.000","2024-12-03T14:47:03.000","Sunset/Parkside","4","35","39","39","10","7"
"151117",,"686-03260","-","0",,"ON",,"SFMTA","13","686032","M","-",,"SS","IPS","M5","Grey",,,"686","TURK ST","326",,"12719000",,"-122.4148974993","37.7827533008",,,,,"416","416-2","J-3",,,"Turk St: 100 - 900","Turk Unit-700","POINT (-122.414897499 37.782753301)","2024-04-29T17:01:40.000","2024-12-03T14:47:03.000","Tenderloin","5","36","20","20","5","10"
"160063",,"606-04050","-","0",,"ON",,"SFMTA","1","606041","M","-",,"SS","IPS","M5","Yellow",,,"606","PINE ST","405",,"10460000",,"-122.4028801021","37.7917974022",,,,,"210","210-3","I-2",,,"California: Unit - 900 Pine St","Pine: Unit - 600","POINT (-122.402880102 37.791797402)","2024-04-29T17:01:40.000","2024-12-03T14:47:03.000","Financial District/South Beach","3","8","108","108","6","3"
"152903",,"657-25430","-","0",,"ON",,"SFMTA","33","657251","M","UV",,"SS","IPS","M5","Grey",,,"657","SAN BRUNO AVE","2543",,"11376000",,"-122.40421219890001","37.729331101199996",,,,,"310","310-1","O-4",,,"San Bruno Ave: 2400 - 2700","San Bruno","POINT (-122.404212199 37.729331101)","2024-04-29T17:01:40.000","2024-12-03T14:47:03.000","Portola","9","25","91","91","2","2"
"157385",,"133-18100","-","0",,"ON",,"SFMTA","25","133182","M","-",,"SS","IPS","M5","Grey",,,"133","33RD AVE","1810",,"1732000",,"-122.4913279002","37.7533224997",,,,,"332","332-1","A-2",,,"Noriega St: 2300 - 2500","Noriega 30th Ave - 34th Ave","POINT (-122.4913279 37.7533225)","2024-04-29T17:01:40.000","2024-12-03T14:47:03.000","Sunset/Parkside","4","35","39","39","10","7"
"160088",,"904-00150","-","0",,"OFF",,"SFMTA","9","109032","M","-",,"SS","MacKay","mkBeacon","Grey",,,"109","09TH AVE","330",,"425000",,"-122.4673365017","37.7820508973",,,,,"910","910","B-2",,,"Clement St at 9th Ave: Lot","9th Ave Clement Lot","POINT (-122.467336502 37.782050897)","2024-04-29T17:01:40.000","2024-12-03T14:47:03.000","Inner Richmond","1","11","5","5","8","4"
"159212",,"847-03570","-","0",,"ON",,"PORT","6","847031","U","U9",,"-","-","-","-",,,"847","JEFFERSON ST","357",,"7458000",,"-122.4188637992","37.8077722983",,,,,,,"Port 1",,,,,"POINT (-122.418863799 37.807772298)","2024-04-29T17:01:40.000","2024-12-03T14:47:03.000","North Beach","3","23","99","99","6","3"
"152711",,"334-30020","-","0",,"ON",,"SFMTA","8","334302","M","-",,"SS","MacKay","mkBeacon","Grey",,,"334","BUCHANAN ST","3002",,"3349000",,"-122.4321696011","37.7976711997",,,,,"215","215-2","F-2",,,"Union St:1500-2200 Fillmore St","Filbert/Fillmore/Greenwich/Pix","POINT (-122.432169601 37.7976712)","2024-04-29T17:01:40.000","2024-12-03T14:47:03.000","Marina","2","13","15","15","4","6"
"156166",,"650-16580","-","0",,"ON",,"SFMTA","15","650162","U","U1",,"SS","IPS","M5","Grey",,,"650","SACRAMENTO ST","1658",,"11247000",,"-122.4207595007","37.7915642009",,,,,,,"D-2",,,,,"POINT (-122.420759501 37.791564201)","2024-04-29T17:01:40.000","2024-12-03T14:47:03.000","Nob Hill","3","21","105","105","4","3"
"153954",,"690-08150","-","0",,"ON",,"SFMTA","10","690081","U","U8",,"SS","IPS","M5","Yellow",,,"690","ULLOA ST","815",,"12784000",,"-122.4655653999","37.740702700700005",,,,,,,"A-1",,,,,"POINT (-122.4655654 37.740702701)","2024-04-29T17:01:40.000","2024-12-03T14:47:03.000","West of Twin Peaks","7","41","46","46","10","8"
"160998",,"684-00730","-","0",,"ON",,"SFMTA","2","684001","M","-",,"SS","IPS","M5","Grey",,,"684","TOWNSEND ST","73",,"12655000",,"-122.3900051021","37.7808995982",,,,,"419","419-51","M-3",,,"Townsend St: Unit-300 King St","SBC Park: Townsend Unit-200","POINT (-122.390005102 37.780899598)","2024-04-29T17:01:40.000","2024-12-03T14:47:03.000","Mission Bay","6","4","31","31","1","10"
"154269",,"605-00200","605-00002","20",,"ON",,"SFMTA","3","605002","M","-",,"MS","MacKay","Elite","Grey",,,"605","PAGE ST","20",,"10169000",,"-122.4214961973","37.774254699100005",,,,,"M-409","M409-2","J-5",,,"Franklin St: 500","FRANKLIN ST","POINT (-122.421496197 37.774254699)","2024-04-29T17:01:40.000","2024-12-03T14:47:03.000","Hayes Valley","6","9","21","21","4","11"
"151667",,"664-08060","-","0",,"ON",,"SFMTA","12","664082","M","-",,"SS","IPS","M5","Grey",,,"664","STOCKTON ST","806",,"12204000",,"-122.4076931977","37.7933879019",,,,,"206","206-2","I-4",,,"Powell St: 1000 - 1700","Powell: 1000 - 1700","POINT (-122.407693198 37.793387902)","2024-04-29T17:01:40.000","2024-12-03T14:47:03.000","Chinatown","3","6","104","104","6","3"
"158699",,"471-10400","-","0",,"ON",,"SFMTA","14","471102","M","-",,"SS","IPS","M5","Grey",,,"471","HARRISON ST","1040",,"6726000",,"-122.4051902999","37.7765181986",,,,,"DPT MOS","DPT MOS","N-4",,,,,"POINT (-122.4051903 37.776518199)","2024-04-29T17:01:40.000","2024-12-03T14:47:03.000","South of Market","6","34","32","32","1","10"
"151582",,"340-00345","-","0",,"ON",,"SFMTA","2","340002","T","UX",,"SS","IPS","M5","Grey",,,"340","BLUXOME ST","34",,"2993000",,"-122.3968130012","37.7769687985",,,,,"DPT MOS","DPT MOS","N-4",,,,,"POINT (-122.396813001 37.776968798)","2024-04-29T17:01:40.000","2024-12-03T14:47:03.000","South of Market","6","34","32","32","1","10"
"154282",,"568-23500","-","0",,"ON",,"SFMTA","4","568232","U","UF",,"-","-","-","-",,,"568","MISSION ST","2350",,"9121000",,"-122.4191565008","37.7587662999",,,,,,,"R-3",,,,,"POINT (-122.419156501 37.7587663)","2024-04-29T17:01:40.000","2024-12-03T14:47:03.000","Mission","9","20","53","53","3","2"
"152533",,"402-01060","-","0",,"ON",,"SFMTA","3","402012","M","-",,"SS","IPS","M5","Grey",,,"402","ELM ST","106",,"5202000",,"-122.4192201027","37.7816933979",,,,,"425","425-1","J-3",,,"Elm St: 100","Elm","POINT (-122.419220103 37.781693398)","2024-04-29T17:01:40.000","2024-12-03T14:47:03.000","Tenderloin","5","36","21","21","4","10"
"159041",,"443-04090","-","0",,"ON",,"SFMTA","3","443041","M","-",,"SS","IPS","M5","Yellow",,,"443","GOUGH ST","409",,"6319000",,"-122.42312619810001","37.777185297500004",,,,,"411","411-1","J-5",,,"Gough St: Unit - 500","Gough Unit-400","POINT (-122.423126198 37.777185297)","2024-04-29T17:01:40.000","2024-12-03T14:47:03.000","Hayes Valley","5","9","22","22","4","11"
"159486",,"224-32200","-","0",,"ON",,"SFMTA","4","224322","M","-",,"SS","IPS","M5","Yellow",,,"224","24TH ST","3220",,"1343000",,"-122.41716720139999","37.7523625985",,,,,"303","303-2","R-4",,,"24 St (Lower): 2700 - 3300","24th St Lower","POINT (-122.417167201 37.752362599)","2024-04-29T17:01:40.000","2024-12-03T14:47:03.000","Mission","9","20","53","53","3","2"
"150890",,"445-00850","-","0",,"ON",,"SFMTA","12","445001","M","-",,"SS","IPS","M5","Grey",,,"445","GREEN ST","85",,"6439000",,"-122.40090020160001","37.800465502700007",,,,,"203","203-4","G-1",,,"Broadway St: Unit - 800","Battery: 800 - 1200","POINT (-122.400900202 37.800465503)","2024-04-29T17:01:40.000","2024-12-03T14:47:03.000","Financial District/South Beach","3","8","77","77","6","3"
"157454",,"217-33180","-","0",,"ON",,"SFMTA","4","217332","M","-",,"SS","MacKay","mkBeacon","Green",,,"217","17TH ST","3318",,"797000",,"-122.4203292017","37.763440797899996",,,,,"335","335-2","R-2",,,"Mission St: 1700 - 2000","Mission 1700-2000","POINT (-122.420329202 37.763440798)","2024-04-29T17:01:40.000","2024-12-03T14:47:03.000","Mission","9","20","53","53","3","2"
"159011",,"701-04210","-","0",,"ON",,"SFMTA","3","701041","M","-",,"SS","IPS","M5","Yellow",,,"701","VAN NESS AVE","421",,"13146101",,"-122.420358479","37.779695507700005",,,,,"410","410-3","J-4",,,"Van Ness Ave: 200 - 2100","Van Ness 600","POINT (-122.420358479 37.779695508)","2024-04-29T17:01:40.000","2024-12-03T14:47:03.000","Hayes Valley","5","9","21","21","4","11"
"154641",,"360-09300","-","0",,"ON",,"SFMTA","9","360092","M","-",,"SS","IPS","M5","Grey",,,"360","CLEMENT ST","930",,"4159000",,"-122.4694251993","37.782792299",,,,,"125","125-2","B-2",,,"Clement St: Unit - 1100","Clement","POINT (-122.469425199 37.782792299)","2024-04-29T17:01:40.000","2024-12-03T14:47:03.000","Inner Richmond","1","11","5","5","8","4"
"157847",,"107-04030","-","0",,"ON",,"SFMTA","9","107041","M","-",,"SS","IPS","M5","Grey",,,"107","07TH AVE","403",,"353000",,"-122.4654064008","37.7806865972",,,,,"126","126-3","B-2",,,"Geary St: 2400 - 4800","Geary2600-3100","POINT (-122.465406401 37.780686597)","2024-04-29T17:01:40.000","2024-12-03T14:47:03.000","Inner Richmond","1","11","5","5","8","4"
"154528",,"446-00530","446-00003","53",,"ON",,"SFMTA","3","446003","M","-",,"MS","MacKay","Elite","Grey",,,"446","GROVE ST","53",,"6553000",,"-122.4169272166","37.7785558046",,,,,"M-401","M401-2","J-4",,,"Grove St: Fulton St: McAlliste","Grove St: Unit, 100, 300","POINT (-122.416927217 37.778555805)","2024-04-29T17:01:40.000","2024-12-03T14:47:03.000","Tenderloin","6","36","21","21","4","10"
"154043",,"327-00560","-","0",,"ON",,"SFMTA","12","327002","M","-",,"SS","IPS","M5","Grey",,,"327","BROADWAY","56",,"3143000",,"-122.3990371001","37.7989182984",,,,,"203","203-2","G-1",,,"Broadway St: Unit - 800","Broadway","POINT (-122.3990371 37.798918298)","2024-04-29T17:01:40.000","2024-12-03T14:47:03.000","Financial District/South Beach","3","8","77","77","6","3"
"151960",,"229-00410","-","0",,"ON",,"SFMTA","29","229001","M","-",,"SS","IPS","M5","Grey",,,"229","29TH ST","41",,"1629000",,"-122.42228549880001","37.7439118017",,,,,"307","307-2","R-5",,,"Mission St: 3100 - 3500","29th / Duncan / Mission / Valenc","POINT (-122.422285499 37.743911802)","2024-04-29T17:01:40.000","2024-12-03T14:47:03.000","Bernal Heights","9","2","83","83","9","2"
"155503",,"363-07190","-","0",,"ON",,"SFMTA","12","363071","M","-",,"SS","MacKay","mkBeacon","Green",,,"363","COLUMBUS AVE","719",,"4298000",,"-122.412038801","37.801473599800005",,,,,"202","202-1","G-4",,,"Columbus Ave: Unit - 1100","Columbus","POINT (-122.412038801 37.8014736)","2024-04-29T17:01:40.000","2024-12-03T14:47:03.000","Chinatown","3","6","107","107","6","3"
"161553",,"568-02392","568-02390","2",,"ON",,"SFMTA","1","568021","M","-",,"MS","MacKay","Tango","Black",,,"568","MISSION ST","239",,"9085000",,"-122.3954834023","37.7912985002",,,,,"M-403","M403-1","M-1",,,"Mission St: Mint St","Mission St: 200","POINT (-122.395483402 37.7912985)","2024-04-29T17:01:40.000","2024-12-03T14:47:03.000","Financial District/South Beach","6","8","108","108","1","10"
"151418",,"202-05750","-","0",,"ON",,"SFMTA","2","202051","U","UC",,"SS","IPS","M5","Grey",,,"202","02ND ST","575",,"146000",,"-122.3923903012","37.7822198988",,,,,,,"M-3",,,,,"POINT (-122.392390301 37.782219899)","2024-04-29T17:01:40.000","2024-12-03T14:47:03.000","Financial District/South Beach","6","8","31","31","1","10"
"160690",,"225-33210","-","0",,"ON",,"SFMTA","29","225331","M","-",,"SS","IPS","M5","Grey",,,"225","25TH ST","3321",,"1438000",,"-122.417016115","37.7506695033",,,,,"306","306-1","R-5",,,"Mission St: 2800 - 3000","25th / 26h / Cesar Chavez / Miss","POINT (-122.417016115 37.750669503)","2024-04-29T17:01:40.000","2024-12-03T14:47:03.000","Mission","9","20","53","53","3","2"
"151799",,"470-05120","-","0",,"ON",,"SFMTA","1","470052","M","-",,"SS","IPS","M5","Grey",,,"470","HOWARD ST","514",,"7033000",,"-122.3964819998","37.7882802998",,,,,,,"M-2",,,,,"POINT (-122.396482 37.7882803)","2024-04-29T17:01:40.000","2024-12-03T14:47:03.000","Financial District/South Beach","6","8","32","32","1","10"
"152175",,"441-09680","-","0",,"ON",,"SFMTA","35","441092","M","-",,"SS","IPS","M5","Grey",,,"441","GENEVA AVE","968",,"6139201",,"-122.4399550983","37.7157860015",,,,,"316","316-1","O-2",,,"Mission St: 4300 - 5300","Mission - Geneva","POINT (-122.439955098 37.715786002)","2024-04-29T17:01:40.000","2024-12-03T14:47:03.000","Excelsior","11","7","58","58","9","1"
"156917",,"440-63060","-","0",,"ON",,"SFMTA","21","440632","M","-",,"SS","IPS","M5","Grey",,,"440","GEARY BLVD","6306",,"6084201",,"-122.48720250070001","37.780112001",,,,,"118","118-2","B-4",,,"Geary St: 5000 - 5200","Geary","POINT (-122.487202501 37.780112001)","2024-04-29T17:01:40.000","2024-12-03T14:47:03.000","Outer Richmond","1","29","8","8","8","4"
"155550",,"110-02970","-","0",,"ON",,"SFMTA","9","110021","M","-",,"SS","IPS","M5","Grey",,,"110","10TH AVE","297",,"463000",,"-122.46878269850001","37.782877900500004",,,,,"125","125-2","B-2",,,"Clement St: Unit - 1100","Clement","POINT (-122.468782698 37.782877901)","2024-04-29T17:01:40.000","2024-12-03T14:47:03.000","Inner Richmond","1","11","5","5","8","4"
"159289",,"384-06050","-","0",,"ON",,"SFMTA","17","384061","U","U4",,"SS","MacKay","mkBeacon","Grey",,,"384","DIVISADERO ST","605",,"4803101",,"-122.43795170050001","37.775204402300005",,,,,,,"C-1",,,,,"POINT (-122.4379517 37.775204402)","2024-04-29T17:01:40.000","2024-12-03T14:47:03.000","Hayes Valley","5","9","24","24","7","11"
"154025",,"443-08230","-","0",,"ON",,"SFMTA","3","443081","U","U1",,"-","-","-","-",,,"443","GOUGH ST","823",,"6326000",,"-122.4239486975","37.7812659991",,,,,,,"J-3",,,,,"POINT (-122.423948698 37.781265999)","2024-04-29T17:01:40.000","2024-12-03T14:47:03.000","Western Addition","5","39","100","100","4","11"
"151492",,"650-34090","-","0",,"ON",,"SFMTA","19","650341","M","-",,"SS","MacKay","mkBeacon","Grey",,,"650","SACRAMENTO ST","3409",,"11266000",,"-122.4490163994","37.7878742021",,,,,"103","103-3","C-2",,,"Divisadero St: Sacramento St","Divisadero - Sacramento","POINT (-122.449016399 37.787874202)","2024-04-29T17:01:40.000","2024-12-03T14:47:03.000","Presidio Heights","2","31","10","10","8","6"
"157508",,"330-03800","-","0",,"ON",,"SFMTA","2","330034","M","-",,"SS","IPS","M5","Grey",,,"330","BRANNAN ST","380",,"3076000",,"-122.39382260080001","37.7805826002",,,,,"427","427-52","M-3",,,"Brannan St: 200 - 500","5th & Brannan","POINT (-122.393822601 37.7805826)","2024-04-29T17:01:40.000","2024-12-03T14:47:03.000","Financial District/South Beach","6","8","31","31","1","10"
"160728",,"686-02050","-","0",,"ON",,"SFMTA","13","686021","U","UC",,"SS","IPS","M5","Grey",,,"686","TURK ST","205",,"12718000",,"-122.41264219739999","37.7829116014",,,,,,,"J-1",,,,,"POINT (-122.412642197 37.782911601)","2024-04-29T17:01:40.000","2024-12-03T14:47:03.000","Tenderloin","5","36","20","20","5","10"
"155446",,"445-13400","-","0",,"ON",,"SFMTA","15","445132","T","UY",,"SS","IPS","M5","Grey",,,"445","GREEN ST","1340",,"6466000",,"-122.4219040998","37.7979096984",,,,,"412","412-1","D-2",,,"Polk St: 100 - 2400","Polk 1800-2400","POINT (-122.4219041 37.797909698)","2024-04-29T17:01:40.000","2024-12-03T14:47:03.000","Russian Hill","3","32","105","105","4","3"
"156468",,"472-03060","-","0",,"ON",,"SFMTA","15","472032","M","-",,"SS","IPS","M5","Yellow",,,"472","HYDE ST","306",,"7117000",,"-122.4158475332","37.7837500603",,,,,"413","413-2","E-1",,,"Hyde St: Unit - 1000","Hyde Unit-600","POINT (-122.415847533 37.78375006)","2024-04-29T17:01:40.000","2024-12-03T14:47:03.000","Tenderloin","5","36","20","20","5","10"
"150710",,"471-11006","471-11006","0",,"ON",,"SFMTA","14","471112","P","-",,"MS","MacKay","Tango","Grey",,,"471","HARRISON ST","1122",,"6729000",,"-122.4070704353","37.7750337386",,,,,"M418","M418","N-2",,,"HERROSON 1100","HERRISON 1100","POINT (-122.407070435 37.775033739)","2024-04-29T17:01:40.000","2024-12-03T14:47:03.000","South of Market","6","34","32","32","1","10"
"158267",,"561-00138","561-00130","8",,"ON",,"SFMTA","1","561001","M","-",,"MS","MacKay","Tango","Black",,,"561","MAIN ST","13",,"8627000",,"-122.3960029014","37.7927985982",,,,,"M-405","M405-1","M-1",,,"Folsom St: Main St: Spear St:","Main St: Unit, 200","POINT (-122.396002901 37.792798598)","2024-04-29T17:01:40.000","2024-12-03T14:47:03.000","Financial District/South Beach","6","8","108","108","6","10"
"153964",,"444-04170","-","0",,"ON",,"SFMTA","1","444041","M","-",,"SS","IPS","M5","Grey",,,"444","GRANT AVE","417",,"6389000",,"-122.4057086983","37.7911300016",,,,,"204","204-3","I-4",,,"Grant Ave: Unit -1500","Grant: 400 - 1100","POINT (-122.405708698 37.791130002)","2024-04-29T17:01:40.000","2024-12-03T14:47:03.000","Financial District/South Beach","3","8","104","104","6","3"
"155197",,"419-12180","-","0",,"ON",,"SFMTA","15","419122","U","U1",,"-","-","-","-",,,"419","FRANKLIN ST","1218",,"5818000",,"-122.4230464024","37.786014397500004",,,,,,,"E-3",,,,,"POINT (-122.423046402 37.786014398)","2024-04-29T17:01:40.000","2024-12-03T14:47:03.000","Western Addition","2","39","100","100","4","11"
"160491",,"667-01040","-","0",,"ON",,"SFMTA","14","667012","M","-",,"SS","IPS","M5","Grey",,,"667","SOUTH VAN NESS AVE","104",,"12016201",,"-122.4186272004","37.7723965988",,,,,"DPT MOS","DPT MOS","N-1",,,,,"POINT (-122.4186272 37.772396599)","2024-04-29T17:01:40.000","2024-12-03T14:47:03.000","Mission","6","20","32","32","1","10"
